site,lang,url_from_table,label,title,title_len,metadesc,desc_len,focus_keyphrase,related_keyphrases,h1
kyiv,uk,/services/soft-tissue-urinary-surgery/,Оперативні втручання на сечовидільній системі,Операції на сечовому міхурі у тварин у Києві – для собак та кішок,65,"Цистотомія, видалення сечових каменів, лікування обструкцій сечовивідних шляхів у собак та кішок у Києві. Інгаляційна анестезія.",128,,,М’якотканинна хірургія: оперативні втручання на сечовидільній системі
kyiv,ru,/ru/services/soft-tissue-urinary-surgery/,Операции на мочевыделительной системе,Операции на мочевом пузыре у животных в Киеве – для собак и кошек,65,"Цистотомия, удаление мочевых камней, лечение обструкций мочевыводящих путей у собак и кошек в Киеве. Ингаляционная анестезия.",125,,,Мягкотканная хирургия: оперативные вмешательства на мочевыделительной системе
kyiv,uk,/services/soft-tissue-surgery/,М’якотканинна хірургія,М'якотканинна хірургія для тварин у Києві – операції для собак та кішок,71,"Видалення гриж, новоутворень, складні операції у собак та кішок у Києві. Досвідчені ветеринарні хірурги, інгаляційна анестезія.",127,,,М’якотканинна хірургія
kyiv,ru,/ru/services/soft-tissue-surgery/,Хирургия мягких тканей,Мягкотканная хирургия для животных в Киеве – операции для собак и кошек,71,"Удаление грыж, новообразований, сложные операции у собак и кошек в Киеве. Опытные ветеринарные хирурги, ингаляционная анестезия.",128,,,Мягкотканная хирургия
kyiv,uk,/services/blood-bank/,Банк крові,Банк крові для тварин у Києві – переливання крові собакам та кішкам,67,"Донорська кров та переливання крові для собак та кішок у Києві в екстрених випадках. Перевірена кров, безпечна процедура.",121,,,Банк крові
kyiv,ru,/ru/services/blood-bank/,Банк крови,Банк крови для животных в Киеве – переливание крови собакам и кошкам,68,"Донорская кровь и переливание крови для собак и кошек в Киеве в экстренных случаях. Проверенная кровь, безопасная процедура.",124,,,Банк крови
kyiv,uk,/services/ophthalmology/,Офтальмологія,Офтальмологія для тварин у Києві – ветеринарний офтальмолог для собак та кішок,78,"Діагностика і лікування очних хвороб у собак та кішок у Києві: травми, запалення, катаракта, виразки рогівки. Прийом ветеринарного офтальмолога.",144,,,Офтальмологія
kyiv,ru,/ru/services/ophthalmology/,Офтальмология,Офтальмология для животных в Киеве – ветеринарный офтальмолог для собак и кошек,79,"Диагностика и лечение глазных болезней у собак и кошек в Киеве: травмы, воспаления, катаракта, язвы роговицы. Приём ветеринарного офтальмолога.",143,ветеринар офтальмолог киев,,Офтальмология
kyiv,uk,/services/dental-services/,Стоматологічні послуги,Стоматологія для тварин у Києві – ветеринарний стоматолог для собак та кішок,76,"Чищення зубного каменю, лікування зубів, санація ротової порожнини у собак та кішок у Києві. Безпечна анестезія.",112,стоматолог для собак київ,,Стоматологічні послуги
kyiv,ru,/ru/services/dental-services/,Стоматология,Стоматология для животных в Киеве – ветеринарный стоматолог для собак и кошек,77,"Удаление зубного камня, лечение зубов, санация ротовой полости у собак и кошек в Киеве. Безопасная анестезия, современное оборудование.",135,стоматолог для собак киев,кошачий стоматолог киев,Стоматологические услуги
kyiv,uk,/services/neurological-appointment/,Неврологічний прийом,Неврологія для тварин у Києві – ветеринарний невролог для собак та кішок,72,"Діагностика судом, паралічу, атаксії, тремору у собак та кішок у Києві. Прийом досвідченого ветеринарного невролога, МРТ-направлення.",133,,,Неврологічний прийом
kyiv,ru,/ru/services/neurological-appointment/,Неврологический прием,Неврология для животных в Киеве – ветеринарный невролог для собак и кошек,73,"Диагностика судорог, паралича, атаксии, тремора у собак и кошек в Киеве. Приём опытного ветеринарного невролога, направление на МРТ.",132,,,Неврологический приём
kyiv,uk,/services/orthopedic-appointment/,Ортопедичний прийом,Ортопедія для тварин у Києві – ветеринарний ортопед для собак та кішок,70,"Лікування травм кінцівок, дисплазії суглобів, захворювань хребта у собак та кішок у Києві. Ортопедичний огляд, рентген, хірургія.",129,,,Ортопедичний прийом
kyiv,ru,/ru/services/orthopedic-appointment/,Ортопедический прием,Ортопедия для животных в Киеве – ветеринарный ортопед для собак и кошек,71,"Лечение травм конечностей, дисплазии суставов, заболеваний позвоночника у собак и кошек в Киеве. Ортопедический осмотр, рентген, операции.",138,,,Ортопедический приём
kyiv,uk,/services/soft-tissue-surgery-surgical-interventions-on-the-hepatobiliary-system/,Оперативні втручання на гепатобіліарній системі,Операції на печінці та жовчному міхурі у тварин у Києві – для собак та кішок,76,"Хірургічне лікування захворювань печінки та жовчного міхура у собак та кішок у Києві. Холецистектомія, резекція печінки, біопсія.",129,,,М’якотканинна хірургія: оперативні втручання на гепатобіліарній системі
kyiv,ru,/ru/services/soft-tissue-surgery-surgical-interventions-on-the-hepatobiliary-system/,Операции на гепатобилиарной системе,Операции на печени и желчном пузыре у животных в Киеве – для собак и кошек,74,"Хирургическое лечение заболеваний печени и желчного пузыря у собак и кошек в Киеве. Холецистэктомия, резекция печени, биопсия.",126,,,Мягкотканная хирургия: оперативные вмешательства на гепатобилиарной системе
kyiv,uk,/services/home-services/,"Послуги, які надаються на дому",Ветеринар на дому у Києві – виїзд до собак та кішок,51,"Виїзд ветеринара додому у Києві: огляд, УЗД, вакцинація, ін'єкції для собак та кішок. Без стресу та черг у клініці.",115,,,Ветеринар на дому
kyiv,ru,/ru/services/home-services/,Вызов ветеринара на дом,Ветеринар на дому в Киеве – выезд к собакам и кошкам,52,"Выезд ветеринара на дом в Киеве: осмотр, УЗИ, вакцинация, инъекции для собак и кошек. Без стресса и очередей в клинике.",119,ветеринар на дом киев,вызов ветеринара на дом киев; вызов ветеринара на дом киев цена; ветеринар киев вызов на дом; киев ветеринар на дом; ветеринар на дом киев цена,Ветеринар на дому
kyiv,uk,/services/soft-tissue-surgery-surgical-interventions-on-the-gastrointestinal-tract/,Оперативні втручання на ШКТ,Операції на ШКТ у тварин у Києві – хірургія для собак та кішок,62,"Ентеротомія, резекція кишечника, гастротомія у собак та кішок у Києві. Хірургічне лікування захворювань шлунково-кишкового тракту.",130,,,М’якотканинна хірургія: оперативні втручання на ШКТ
kyiv,ru,/ru/services/soft-tissue-surgery-surgical-interventions-on-the-gastrointestinal-tract/,Операции на ЖКТ,Операции на ЖКТ у животных в Киеве – хирургия для собак и кошек,63,"Энтеротомия, резекция кишечника, гастротомия у собак и кошек в Киеве. Хирургическое лечение заболеваний желудочно-кишечного тракта.",131,,,Мягкотканная хирургия: оперативные вмешательства на ЖКТ
kyiv,uk,/services/dermatology/,Дерматологія,Дерматологія для тварин у Києві – ветеринарний дерматолог для собак та кішок,76,"Лікування алергій, свербежу, дерматитів, грибкових інфекцій у собак та кішок у Києві. Прийом ветеринарного дерматолога.",119,,,Дерматологія
kyiv,ru,/ru/services/dermatology/,Дерматология,Дерматология для животных в Киеве – ветеринарный дерматолог для собак и кошек,77,"Лечение аллергий, зуда, дерматитов, грибковых инфекций у собак и кошек в Киеве. Приём ветеринарного дерматолога, соскобы, анализы.",130,,,Дерматология
kyiv,uk,/services/reproductive-medicine-and-newborn-care/,Репродуктологія та допомога новонародженим,Репродуктологія для тварин у Києві – стерилізація та кесарів розтин собак та кішок,82,"Стерилізація, кастрація, кесарів розтин, допомога новонародженим у собак та кішок у Києві. Ветеринарний репродуктолог.",118,,,Репродуктологія та допомога новонародженим
kyiv,ru,/ru/services/reproductive-medicine-and-newborn-care/,Репродуктология и помощь новорожденным,Репродуктология для животных в Киеве – стерилизация и кесарево сечение собак и кошек,84,"Стерилизация, кастрация, кесарево сечение, помощь новорождённым у собак и кошек в Киеве. Ветеринарный репродуктолог.",116,,,Репродуктология и помощь новорождённым
kyiv,uk,/services/anesthesia-support/,Анестезіологічний супровід,Анестезія для тварин у Києві – інгаляційний наркоз для собак та кішок,69,"Інгаляційний наркоз та анестезіологічний супровід операцій у собак, кішок та екзотичних тварин у Києві. Моніторинг показників під час втручання.",144,,,Анестезіологічний супровід
kyiv,ru,/ru/services/anesthesia-support/,Анестезиологическое сопровождение,Анестезия для животных в Киеве – ингаляционный наркоз для собак и кошек,71,"Ингаляционный наркоз и анестезиологическое сопровождение операций у собак, кошек и экзотических животных в Киеве. Мониторинг показателей.",137,,,Анестезиологическое сопровождение
kyiv,uk,/services/express-tests/,Експрес-тести,Експрес-тести для тварин у Києві – швидка діагностика собак та кішок,68,"Швидка діагностика інфекцій у собак та кішок у Києві: чума, панлейкопенія, парвовірус, лямблії. Результат за 10 хвилин.",119,,,Експрес-тести
kyiv,ru,/ru/services/express-tests/,Экспресс-тесты,Экспресс-тесты для животных в Киеве – быстрая диагностика собак и кошек,71,"Быстрая диагностика инфекций у собак и кошек в Киеве: чума, панлейкопения, парвовирус, лямблии. Результат за 10 минут.",118,,,Экспресс-тесты
kyiv,uk,/services/research-in-external-laboratories/,Дослідження у зовнішніх лабораторіях,Аналізи у зовнішніх лабораторіях для тварин у Києві – собаки та кішки,69,"Спеціалізовані та рідкісні аналізи для собак та кішок у Києві через зовнішні лабораторії. ПЛР, гормони, генетика, гістологія.",125,,,Дослідження у зовнішніх лабораторіях
kyiv,ru,/ru/services/research-in-external-laboratories/,Исследования во внешних лабораториях,Анализы во внешних лабораториях для животных в Киеве – собаки и кошки,69,"Специализированные и редкие анализы для собак и кошек в Киеве через внешние лаборатории. ПЦР, гормоны, генетика, гистология.",124,,,Исследования во внешних лабораториях
kyiv,uk,/services/cytological-studies/,Цитологічні дослідження,Цитологія для тварин у Києві – аналіз клітин собак та кішок,59,"Цитологічне дослідження пухлин, шкіри, слизових оболонок у собак та кішок у Києві. Швидкі результати, точна ветеринарна діагностика.",132,,,Цитологічні дослідження
kyiv,ru,/ru/services/cytological-studies/,Цитологические исследования,Цитология для животных в Киеве – анализ клеток собак и кошек,60,"Цитологическое исследование опухолей, кожи, слизистых оболочек у собак и кошек в Киеве. Быстрые результаты, точная диагностика.",127,,,Цитологические исследования
kyiv,uk,/services/laboratory-stool-and-urine-tests/,Лабораторія: дослідження калу та сечі,Аналіз сечі та калу для тварин у Києві – лабораторія для собак та кішок,71,"Дослідження сечі та калу у собак та кішок у Києві: виявлення інфекцій, паразитів, кристалів, запальних процесів. Точна лабораторна діагностика.",143,,,Лабораторія: дослідження калу та сечі
kyiv,ru,/ru/services/laboratory-stool-and-urine-tests/,Лаборатория: исследования кала и мочи,Анализ мочи и кала для животных в Киеве – лаборатория для собак и кошек,71,"Исследование мочи и кала у собак и кошек в Киеве: выявление инфекций, паразитов, кристаллов, воспалительных процессов.",118,,,Лаборатория: исследование кала и мочи
kyiv,uk,/services/laboratory-blood-tests/,Лабораторія: дослідження крові,Аналізи крові для тварин у Києві – ветеринарна лабораторія для собак та кішок,77,"Загальний, біохімічний та розгорнутий аналіз крові для собак та кішок у Києві. Швидке виконання, точні результати.",114,,,Лабораторія: дослідження крові
kyiv,ru,/ru/services/laboratory-blood-tests/,Лаборатория: исследования крови,Анализы крови для животных в Киеве – ветеринарная лаборатория для собак и кошек,79,"Общий, биохимический и развёрнутый анализ крови для собак и кошек в Киеве. Быстрое выполнение, точные результаты, консультация врача.",133,,,Лаборатория: исследование крови
kyiv,uk,/services/intensive-care-unit/,Відділення реанімації та інтенсивної терапії,Реанімація тварин у Києві – інтенсивна терапія собак та кішок,61,"Цілодобова реанімація та інтенсивна терапія собак та кішок у Києві. Апаратна підтримка, постійний моніторинг, ургентна допомога.",128,,,Відділення реанімації та інтенсивної терапії
kyiv,ru,/ru/services/intensive-care-unit/,Отделение реанимации и интенсивной терапии,Реанимация животных в Киеве – интенсивная терапия собак и кошек,63,"Круглосуточная реанимация и интенсивная терапия собак и кошек в Киеве. Аппаратная поддержка, постоянный мониторинг, ургентная помощь.",133,,,Отделение реанимации и интенсивной терапии
kyiv,uk,/services/endoscopy/,Ендоскопія,Ендоскопія для тварин у Києві – гастроскопія та бронхоскопія собак та кішок,75,"Ендоскопічна діагностика ШКТ і дихальних шляхів у собак та кішок у Києві: гастроскопія, колоноскопія, риноскопія, бронхоскопія.",127,,,Ендоскопія
kyiv,ru,/ru/services/endoscopy/,Эндоскопия,Эндоскопия для животных в Киеве – гастроскопия и бронхоскопия собак и кошек,75,"Эндоскопическая диагностика ЖКТ и дыхательных путей у собак и кошек в Киеве: гастроскопия, колоноскопия, риноскопия, бронхоскопия.",130,,,Эндоскопия
kyiv,uk,/services/radiology/,Радіологія,Рентген для тварин у Києві – ветеринарна радіологія для собак та кішок,70,"Рентгенографія для собак та кішок у Києві: переломи, пухлини, сторонні тіла, патології суглобів. Цифровий рентген, швидкі результати.",133,,,Радіологія
kyiv,ru,/ru/services/radiology/,Радиология,Рентген для животных в Киеве – ветеринарная радиология для собак и кошек,72,"Рентгенография для собак и кошек в Киеве: переломы, опухоли, инородные тела, патологии суставов. Цифровой рентген, быстрые результаты.",134,рентген для животных киев,,Радиология
kyiv,uk,/services/diagnostics/,"Діагностика: УЗД, ЕХОкГ, тонометрія, ЕКГ","УЗД, ЕКГ, ЕХОкГ для тварин у Києві – діагностика собак та кішок",63,"УЗД органів, ехокардіографія, ЕКГ, тонометрія для собак та кішок у Києві. Сучасна апаратна діагностика, результати під час прийому.",131,,,"Діагностика: УЗД, ЕХОкГ, тонометрія, ЕКГ"
kyiv,ru,/ru/services/diagnostics/,"Диагностика: УЗИ, ЭхоКГ, тонометрия, ЭКГ","УЗИ, ЭКГ, ЭХОкГ для животных в Киеве – диагностика собак и кошек",64,"УЗИ органов, эхокардиография, ЭКГ, тонометрия для собак и кошек в Киеве. Современная аппаратная диагностика, результаты на приёме.",130,,,"Диагностика: УЗИ, ЭХОкГ, тонометрия, ЭКГ"
kyiv,uk,/services/complex-therapeutic-manipulations/,Складні терапевтичні маніпуляції,Складні терапевтичні процедури для тварин у Києві – лікування собак та кішок,76,"Інфузійна терапія, складні маніпуляції та постійний нагляд ветеринара для собак та кішок у Києві. Лікування важких стаціонарних випадків.",137,,,Складні терапевтичні маніпуляції
kyiv,ru,/ru/services/complex-therapeutic-manipulations/,Сложные терапевтические манипуляции,Сложные терапевтические процедуры для животных в Киеве – лечение собак и кошек,78,"Инфузионная терапия, сложные манипуляции и постоянный контроль ветеринара для собак и кошек в Киеве. Лечение тяжёлых стационарных случаев.",138,,,Сложные терапевтические манипуляции
kyiv,uk,/services/basic-therapeutic-manipulations/,Базові терапевтичні маніпуляції,Терапевтичні процедури для тварин у Києві – крапельниці та ін'єкції собакам та кішкам,85,"Встановлення катетерів, крапельниці, обробка ран, ін'єкції для собак та кішок у Києві. Базові маніпуляції швидко та безпечно.",125,,,Базові терапевтичні маніпуляції
kyiv,ru,/ru/services/basic-therapeutic-manipulations/,Базовые терапевтические манипуляции,Терапевтические процедуры для животных в Киеве – капельницы и инъекции собакам и кошкам,87,"Установка катетеров, капельницы, обработка ран, инъекции для собак и кошек в Киеве. Базовые манипуляции быстро и безопасно.",123,,,Базовые терапевтические манипуляции
kyiv,uk,/services/reception-department/,Приймальне відділення,Ветеринарний прийом у Києві – огляд собак та кішок,50,"Первинний ветеринарний огляд, консультація та направлення на аналізи у Києві. Прийом собак та кішок без черги, запис онлайн.",124,,,Приймальне відділення
kyiv,ru,/ru/services/reception-department/,Приемное отделение,Ветеринарный приём в Киеве – осмотр собак и кошек без очереди,61,"Первичный ветеринарный осмотр, консультация и направление на анализы в Киеве. Приём собак и кошек без очереди, запись онлайн.",125,,,Приёмное отделение
kharkiv,uk,/,Головна,Ветеринарна клініка у Харкові– Лікування собак та кішок,55,"Ветеринарна клініка ДОВІРА у Харкові: хірургія, діагностика, терапія, стоматологія для собак та кішок. Досвідчені лікарі, сучасне обладнання, цілодобова допомога.",162,ветеринарна клініка харків,,Ветеринарна клініка у Харкові
kharkiv,ru,/ru/,Главная,Ветеринарная клиника в Харькове– Лечение собак и кошек,54,"Ветеринарная клиника ДОВЕРИЕ в Харькове: хирургия, диагностика, терапия, стоматология для собак и кошек. Опытные врачи, современное оборудование, круглосуточная помощь",167,ветеринарная клиника харьков,ветклиника харьков,Ветеринарная клиника в Харькове
kharkiv,uk,/services/,Послуги,Послуги,7,"Повний спектр ветеринарних послуг для собак та кішок у Харкові: хірургія, діагностика, терапія, лабораторія. Запис онлайн.",122,,,Послуги
kharkiv,ru,/ru/services/,Услуги,Услуги,6,"Полный спектр ветеринарных услуг для собак и кошек в Харькове: хирургия, диагностика, терапия, лаборатория. Запись онлайн.",122,,,Услуги
kharkiv,uk,/services/rehabilitation/,Реабілітація,Реабілітація тварин у Харкові – відновлення собак та кішок після операцій,73,"Реабілітація собак та кішок після хірургії, травм, неврологічних та ортопедичних захворювань у Харкові. Індивідуальна програма відновлення.",139,,,Реабілітація
kharkiv,ru,/ru/services/rehabilitation/,Реабилитация,Реабилитация животных в Харькове – восстановление собак и кошек после операций,78,"Реабилитация собак и кошек после хирургии, травм, неврологических и ортопедических заболеваний в Харькове. Индивидуальная программа восстановления.",147,,,Реабилитация
kharkiv,uk,/services/funeral-cremation-services/,Ритуальні послуги та кремація,Кремація тварин у Харкові – ритуальні послуги для собак та кішок,64,"Індивідуальна та групова кремація собак та кішок у Харкові. Гідне прощання, урна, доставка праху додому.",104,,,Ритуальні послуги та кремація
kharkiv,ru,/ru/services/funeral-cremation-services/,Риутальные услуги и кремация,Кремация животных в Харькове – ритуальные услуги для собак и кошек,66,"Индивидуальная и групповая кремация собак и кошек в Харькове. Достойное прощание, урна, доставка праха домой.",109,кремация животных харьков,эвтаназия животных харьков; эвтаназия животных харьков; эвтаназия животных харьков цена,Ритуальные услуги и кремация
kharkiv,uk,/services/amputation/,Ампутація,Ампутація кінцівки у тварин у Харкові – операції для собак та кішок,67,"Ампутація лап у собак та кішок за медичними показаннями у Харкові. Сучасне знеболення, реабілітація після операції.",115,,,Ампутація
kharkiv,ru,/ru/services/amputation/,Ампутация,Ампутация конечности у животных в Харькове – операции для собак и кошек,71,"Ампутация лап у собак и кошек по медицинским показаниям в Харькове. Современное обезболивание, реабилитация после операции.",123,,,Ампутация
kharkiv,uk,/services/mastectomy-surgery/,Мастектомія,Мастектомія у тварин у Харкові – видалення пухлин молочних залоз у собак та кішок,81,"Хірургічне видалення пухлин молочних залоз у собак та кішок у Харкові. Регіонарна та повна мастектомія, гістологія, постопераційний догляд.",139,,,М'якотканинна хірургія: мастектомія
kharkiv,ru,/ru/services/mastectomy-surgery/,Мастектомия,Мастэктомия у животных в Харькове – удаление опухолей молочных желёз у собак и кошек,84,"Хирургическое удаление опухолей молочных желёз у собак и кошек в Харькове. Регионарная и полная мастэктомия, гистология, послеоперационный уход.",144,,,Мягкотканная хирургия: мастэктомия
kharkiv,uk,/services/skin-soft-tissue-surgery/,Хірургія шкіри та м’яких тканин,Хірургія шкіри у тварин у Харкові – видалення пухлин та гематом у собак та кішок,80,"Видалення новоутворень, гематом, абсцесів, кіст у собак та кішок у Харкові. Хірургія шкіри та м'яких тканин, стерильні умови.",125,,,М'якотканинна хірургія: хірургія шкіри та м'яких тканин
kharkiv,ru,/ru/services/skin-soft-tissue-surgery/,Хирургия кожи и мягких тканей,Хирургия кожи у животных в Харькове – удаление опухолей и гематом у собак и кошек,81,"Удаление новообразований, гематом, абсцессов, кист у собак и кошек в Харькове. Хирургия кожи и мягких тканей, стерильные условия.",129,,,Мягкотканная хирургия: хирургия кожи и мягких тканей
kharkiv,uk,/services/thoracic-surgery/,Торакальна хірургія,Торакальна хірургія для тварин у Харкові – операції для собак та кішок,70,"Операції на грудній клітці та плевральній порожнині у собак та кішок у Харкові. Лікування пневмотораксу, пухлин, вроджених патологій.",133,,,М'якотканинна хірургія: торакальна хірургія
kharkiv,ru,/ru/services/thoracic-surgery/,Торакальная хирургия,Торакальная хирургия для животных в Харькове – операции для собак и кошек,73,"Операции на грудной клетке и плевральной полости у собак и кошек в Харькове. Лечение пневмоторакса, опухолей, врождённых патологий.",131,,,Мягкотканная хирургия: торакальная хирургия
kharkiv,uk,/services/soft-tissue-abdominal-surgery/,Оперативні втручання на органах черевної порожнини,Операції на черевній порожнині у тварин у Харкові – для собак та кішок,70,"Лапаротомія, спленектомія, адреналектомія та інші операції на органах черевної порожнини у собак та кішок у Харкові.",116,,,М'якотканинна хірургія: оперативні втручання на органах черевної порожнини
kharkiv,ru,/ru/services/soft-tissue-abdominal-surgery/,Оперативные вмешательства на органах брюшной полости,Операции на брюшной полости у животных в Харькове – для собак и кошек,69,"Лапаротомия, спленэктомия, адреналэктомия и другие операции на органах брюшной полости у собак и кошек в Харькове.",114,,,Мягкотканная хирургия: оперативные вмешательства на органах брюшной полости
kharkiv,uk,/services/head-neck-surgery/,Операції в області голови та шиї,Операції на голові та шиї у тварин у Харкові – хірургія собак та кішок,70,"Булотомія, ринопластика, палатопластика, резекція м'якого піднебіння у собак та кішок у Харкові. Корекція вроджених дефектів дихання.",133,,,Хірургія: операції в області голови та шиї
kharkiv,ru,/ru/services/head-neck-surgery/,Операции в области головы и шеи,Операции на голове и шее у животных в Харькове – хирургия собак и кошек,71,"Булотомия, ринопластика, палатопластика, резекция мягкого нёба у собак и кошек в Харькове. Коррекция врождённых дефектов дыхания.",129,,,Хирургия: операции в области головы и шеи
kharkiv,uk,/services/soft-tissue-urinary-surgery/,Оперативні втручання на сечовидільній системі,Операції на сечовому міхурі у тварин у Харкові – для собак та кішок,67,"Цистотомія, видалення сечових каменів, лікування обструкцій сечовивідних шляхів у собак та кішок у Харкові. Інгаляційна анестезія.",130,,,М'якотканинна хірургія: оперативні втручання на сечовидільній системі
